Latitude,Longitude,Rainfall (mm),Temperature (°C),Humidity (%),River Discharge (m³/s),Water Level (m),Elevation (m),Land Cover,Soil Type,Population Density,Infrastructure,Historical Floods,Flood Occurred
25.87673517,77.30593442,218.9994933,34.14433705,43.9129633,4236.182888,7.415552031,377.4654335,Water Body,Clay,7276.742184,15,0,1
28.51419835,76.36512711,55.35359868,28.77877361,27.58542201,2472.585219,8.811018751,7330.608875,Forest,Peat,6897.736956,69,1,0
22.28070661,92.90799047,103.9919083,43.93495575,30.108738,977.3280532,4.631798754,2205.873488,Agricultural,Loam,4361.518494,42,1,0
15.93848801,78.24332396,198.9841911,21.56935353,34.45369025,3683.208933,2.891787317,2512.2778,Desert,Sandy,6163.069701,10,1,0
34.40126071,77.55827569,144.6268034,32.63569248,36.29226675,2093.390678,3.188465744,2001.818223,Agricultural,Loam,6167.964591,47,0,0
18.11275742,75.71732259,221.5713116,36.00630045,39.38094474,2973.137417,6.969482584,7433.062836,Agricultural,Loam,5377.538809,39,0,1
24.5527997,73.58345594,288.3623704,39.76693468,40.43680232,536.3264509,5.67558034,8661.324855,Water Body,Silt,6039.090369,18,0,0
18.99531159,84.09391121,34.96400631,27.20913091,56.45730764,3157.919948,4.86494131,6681.891487,Agricultural,Clay,3994.45368,64,1,1
23.95377799,87.01402129,212.8703149,35.60765723,60.76585527,1867.752445,2.027740788,7287.016909,Forest,Silt,6782.941225,57,0,0
33.94778063,75.99494564,69.10324669,24.09604414,44.71033665,1670.948749,8.754556875,5490.188075,Urban,Silt,2270.032224,26,1,0
23.66926032,76.11592687,124.3430182,28.06428277,92.58371359,4899.577894,7.810204475,4678.600389,Urban,Clay,8532.878669,84,0,1
20.15828181,83.21758417,9.858817739,41.86881394,64.25117787,2162.153214,1.406386017,6384.522186,Urban,Peat,8509.318152,40,1,1
24.63131849,75.21338267,40.77221469,43.49722828,82.99815424,3390.191891,3.673884546,316.4299517,Forest,Sandy,4978.621275,13,1,0
28.71492554,72.9304492,95.93318671,36.56452041,93.93902659,3138.637678,5.421320936,543.2718505,Desert,Silt,4965.927515,83,1,0
18.66775734,80.09742684,102.5957416,26.23055672,33.05080917,521.5177544,4.543386228,6080.995827,Forest,Silt,3990.476859,34,1,0
26.49989701,91.6377169,269.8755649,39.6017337,54.2299587,3739.637685,3.977958387,2964.699047,Urban,Peat,457.4235548,94,1,1
18.26403725,75.07182192,222.5438728,15.77601245,54.65683214,1615.796017,7.188318976,4325.206386,Desert,Clay,1432.650448,1,1,0
15.7827217,75.18214746,291.6548905,18.08237732,48.35778004,3994.697746,0.545035042,6919.070203,Water Body,Loam,7144.881605,81,1,1
25.92910313,76.5090103,179.7214531,34.84121209,20.71246932,3038.203913,4.714103391,5106.693174,Forest,Peat,1427.409995,84,0,0
